融资主体,count
武汉纽福斯生物科技有限公司,6
深圳承泰科技有限公司,6
上海镁信健康科技股份有限公司,6
深圳市晶讯技术股份有限公司,6
深圳华大智造科技股份有限公司,6
青岛梦想绽放科技有限公司,6
厦门亿芯源半导体科技有限公司,6
江苏美科太阳能科技股份有限公司,6
北京德风新征程科技股份有限公司,6
南京观海微电子有限公司,6
杭州优思达生物技术股份有限公司,6
苏州科阳半导体有限公司,6
湖南中晟全肽生化有限公司,6
武汉禾元生物科技股份有限公司,6
深圳市驭能科技有限公司,6
苏州京东工品汇信息科技有限公司,6
马鞍山全亿健康企业管理有限公司,6
北京六合宁远医药科技股份有限公司,6
深圳深蕾科技股份有限公司,6
江苏东星智慧医疗科技股份有限公司,6
广州玻思韬控释药业有限公司,6
宜明昂科生物医药技术（上海）股份有限公司,6
恒烁半导体（合肥）股份有限公司,6
江苏京创先进电子科技有限公司,6
深圳英集芯科技股份有限公司,6
苏州金峰物流设备有限公司,6
浙江孔辉汽车科技有限公司,6
清陶（昆山）能源发展股份有限公司,6
会通新材料股份有限公司,6
西安优艾智合机器人科技有限公司,6
杭州遂真生物技术有限公司,6
芯启源电子科技有限公司,6
易弗明（苏州）材料科技有限公司,6
胜达克半导体科技（上海）股份有限公司,6
驭光科技（绍兴）有限公司,6
杭州蓝芯科技有限公司,6
浙江迅实科技有限公司,6
西安中熔电气股份有限公司,6
深圳唯公科技有限公司,6
广州南方测绘科技股份有限公司,6
深圳市中科蓝讯科技股份有限公司,6
苏州汉天下电子有限公司,6
果麦文化传媒股份有限公司,6
北京昂瑞微电子技术股份有限公司,6
上海燧原科技有限公司,6
圣元环保股份有限公司,6
德美联合（重庆）医疗科技有限公司,6
深圳市豪鹏科技股份有限公司,6
江苏芯德半导体科技有限公司,6
广东大普通信技术股份有限公司,6
泓浒（苏州）半导体科技有限公司,6
上海矽睿科技股份有限公司,6
北京知存科技有限公司,6
北京九章云极科技有限公司,6
北京商越网络科技有限公司,6
易点天下网络科技股份有限公司,6
北京赛桥生物科技有限公司,6
北京数牍科技有限公司,6
博瑞生物医药（苏州）股份有限公司,6
开源共识（上海）网络技术有限公司,6
重庆洪九果品股份有限公司,6
南京天易合芯电子有限公司,6
北京威努特技术有限公司,6
北京英创汇智科技有限公司,6
广东芳源新材料集团股份有限公司,6
长光卫星技术股份有限公司,6
埃克斯工业有限公司,6
和元生物技术（上海）股份有限公司,6
苏州吉呗思数据技术有限公司,6
北京铭镓半导体有限公司,6
湖南顺华锂业有限公司,6
飞昂创新科技南通有限公司,6
深圳云豹智能有限公司,6
湖北万润新能源科技股份有限公司,6
上海哥瑞利软件股份有限公司,6
苏州鑫康合生物医药科技有限公司,6
上海登临科技有限公司,6
中国振华（集团）科技股份有限公司,6
北京中科原动力科技有限公司,6
珠海云洲智能科技股份有限公司,6
理想万里晖半导体设备（上海）股份有限公司,6
深圳若奇火鸡科技有限公司,6
东莞普莱信智能技术有限公司,6
深圳市唯酷光电有限公司,6
江苏润阳新能源科技股份有限公司,6
江苏集餐厨网络科技有限公司,6
贵州振华新材料股份有限公司,6
芯河半导体科技（无锡）有限公司,6
安徽长飞先进半导体有限公司,6
百力司康生物医药（杭州）有限公司,6
上海威固信息技术股份有限公司,6
